formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
Busulfan 6mg/mL 10 mL inj,busulfan,Not Recorded,,1722
Butorphanol 2 mg/mL inj,butorphanol,Not Recorded,none,312
Butorphanol 4 mg/2 mL inj,butorphanol,Not Recorded,,15
C1 Esterase Inhibitor 500 units inj (Berinert),C1 esterase inhibitor,Not Recorded,none,19
C1 Esterase Inhibitor 500 units inj (Berinert) (pt. Own Med),C1 esterase inhibitor,Not Recorded,none,2
"C1 esterase inhibitor, human 500 units (Cinryze)","C1 esterase inhibitor, human",Not Recorded,none,1
CARBOplatin 10 mg/mL inj,CARBOplatin,Not Recorded,none,1441
CARBOplatin 150mg inj,CARBOplatin,Not Recorded,none,3
CISplatin 100 mg/100mL inj,CISplatin,Not Recorded,,13
CISplatin 200  mg/200  mL inj,CISplatin,Not Recorded,,4265
"CMPD fentanyl  2,500 mcg vial",fentanyl citrate,Not Recorded,none,15018
CaRVEDILOL 12.5 mg tab,CaRVEDILOL,Not Recorded,,1
CaRVEDILOL 25 mg tab,CaRVEDILOL,Not Recorded,,1
Caffeine Citrate 20mg/mL neonate syringe,caffeine citrate syringe,Not Recorded,none,439
Caffeine Citrate 60mg/3ml inj,caffeine citrate,Not Recorded,,6
Caffeine-Sod Benz 500 mg/2 mL inj,caffeine-sodium benzoate,Not Recorded,,182
Calcitonin 400 IU/2 mL inj,calcitonin,Not Recorded,,2
Calcitriol 1 mcg/1 mL inj,calcitriol,Not Recorded,,446
Calcium Chloride  1gm/10 mL inj vial,calcium chloride,Not Recorded,,2793
Calcium Chloride  1gm/10 mL syringe,calcium chloride,Not Recorded,,32810
Calcium Chloride (45x) 6.3gm granules,calcium chloride,Not Recorded,none,7
Calcium Glubionate 1.8 gm/5 ml liq 15 mL,calcium glubionate,Not Recorded,,1
Calcium Gluconate 1 gm/10 mL inj,calcium gluconate,Not Recorded,,143562
