formulary_name,med_name_generic,med_action_dose_unit
Bivalirudin 250mg/NS,bivalirudin in ns,71146
Bleomycin 15 units inj,bleomycin,36
Bleomycin 30 units inj.,bleomycin,2
Blinatumomab 35 mcg inj,blinatumomab,300
Bortezomib 3.5 mg inj (IV),bortezomib,32
Bortezomib 3.5 mg inj (SubQ),bortezomib in syringe,2
Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,ciprofloxacin in D5W,4125
Brentuximab vedotin 50 mg inj,brentuximab vedotin,10
Bumetanide 0.25 mg/mL 10 mL inj,bumetanide,50371
Bumetanide 1 mg/4 mL inj,bumetanide,11559
Bupivacaine  0.25% w/Epi  30 mL,bupivacaine 0.25% w/epi,37
Bupivacaine  0.25% w/Epi  PF 30 mL,bupivacaine 0.25% w/epi,2
Bupivacaine  0.5% w/Epi 10 mL inj,bupivacaine 0.5% w/epi,10
Bupivacaine 0.25% 30 mL inj,bupivacaine 0.25%,19
Bupivacaine 0.25% pf  10mL inj,bupivacaine 0.25% pf,13
Bupivacaine 0.25% pf 30mL inj,bupivacaine 0.25% pf,5
Bupivacaine 0.5% 10 mL inj,bupivacaine 0.5%,152
Bupivacaine 0.5% pf 10 mL inj,bupivacaine 0.5%,43
Bupivacaine 0.5% pf 30 mL inj,bupivacaine 0.5%,2909
Bupivacaine 0.5% pf inj 10mL,bupivacaine 0.5% pf,4
Bupivacaine 0.75% 10 mL inj pf,bupivacaine 0.75%,4
Bupivacaine Spinal 0.75% 2 mL inj,bupivacaine 0.75%,10
Bupivacaine liposome 1.3% (13.3 mg/mL) inj. 20mL,bupivacaine liposome,7
Buprenorphone 0.3 mg/ 1 mL inj,buprenorphine,11
Busulfan 6mg/mL 10 mL inj,busulfan,1722
Butorphanol 2 mg/mL inj,butorphanol,312
Butorphanol 4 mg/2 mL inj,butorphanol,15
C1 Esterase Inhibitor 500 units inj (Berinert),C1 esterase inhibitor,19
C1 Esterase Inhibitor 500 units inj (Berinert) (pt. Own Med),C1 esterase inhibitor,2
"C1 esterase inhibitor, human 500 units (Cinryze)","C1 esterase inhibitor, human",1
CARBOplatin 10 mg/mL inj,CARBOplatin,1441
CARBOplatin 150mg inj,CARBOplatin,3
CISplatin 100 mg/100mL inj,CISplatin,13
CISplatin 200  mg/200  mL inj,CISplatin,4265
"CMPD fentanyl  2,500 mcg vial",fentanyl citrate,15018
CaRVEDILOL 12.5 mg tab,CaRVEDILOL,1
CaRVEDILOL 25 mg tab,CaRVEDILOL,1
Caffeine Citrate 20mg/mL neonate syringe,caffeine citrate syringe,439
Caffeine Citrate 60mg/3ml inj,caffeine citrate,6
Caffeine-Sod Benz 500 mg/2 mL inj,caffeine-sodium benzoate,182
Calcitonin 400 IU/2 mL inj,calcitonin,2
Calcitriol 1 mcg/1 mL inj,calcitriol,446
Calcium Chloride  1gm/10 mL inj vial,calcium chloride,2793
Calcium Chloride  1gm/10 mL syringe,calcium chloride,32810
Calcium Chloride (45x) 6.3gm granules,calcium chloride,7
Calcium Glubionate 1.8 gm/5 ml liq 15 mL,calcium glubionate,1
Calcium Gluconate 1 gm/10 mL inj,calcium gluconate,143562
Calcium Gluconate 1 gm/10 mL inj ADD,calcium gluconate,29686
Calcium chloride 5.1gm granules,calcium chloride,1
Calcium gluconate 50mg/mL/NS neonate syringe,calcium gluconate in NS syringe,168
Carbidopa-Levodopa 25/100 CR tab,carbidopa-levodopa cr 25/100,1
Carbidopa-Levodopa 25/100 tab,carbidopa-levodopa 25/100,1
Carbidopa/Entacapone/Levodopa 37.5 mg-200 mg-150 mg tabl,carbidopa/entacapone/levodopa 37.5/200/150,1
Carboprost Trm 250 mcg/ 1 mL,carboprost,8
Carfilzomib 60 mg inj,carfilzomib,19
Carmustine 100 mg inj,carmustine,321
CeFAZOLIN 2 g/50 mL,ceFAZolin in iso-dex,90075
CeFAZOLIN 2 g/50 mL,ceFAZolin ivpb,104079
CeFAZolin 500mg (10gm vial),ceFAZolin,3100
CeTUXimab 2 mg/mL 50 mL inj,ceTUXimab,3
CefEPIME 1 gm/D5W 50mL IVPB,cefepime in D5W,8193
CefEPIME 1 gm/ns 100ml,cefEPIME in NS,496
CefEPIME 20mg/mL neonate syringe,cefEPIME in syringe,32
CefEPIME 2gm/D5W 50mL IVPB,cefEPIME in d5W,73715
CefTAZIDime 1gm IVPB,cefTAZIDime in ns,8950
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime IVPB,506
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime ivpb,109
CefTAZIDime 1gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,31
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime in ns,5
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime ivpb,1008
CefTAZIDime 2gm/50 mL IVPB,cefTAZIDime ivpb,6021
CefTAZIDime 2gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,4467
CefTAZIDime 2gm/NS IVPB,cefTAZIDime in ns,45946
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZIDime in NS syringe,74
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZidime in NS syringe,212
CefTAZidime 2.25mg/0.1mL for Intravitreal inj.,cefTAZidime intravitreal,9
CefaZOLIN 1gm/50 mL Iso-Dex,cefaZOLIN in iso-dex,98944
CefaZOLIN 20mg/mL/NS neonate syringe,cefaZOLIN in NS syringe,25
Cefazolin 2 gm/NS IVPB,cefazolin in ns,3551
