"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"00BC4ZX","0113","10000",1,0,0,0,0
"00BC4ZZ","0159","10000",1,0,0,0,0
"00BD0ZX","0114","10000",1,0,0,0,0
"00BD0ZZ","0159","10000",1,0,0,0,0
"00BD3ZX","0113","10000",1,0,0,0,0
"00BD3ZZ","0159","10000",1,0,0,0,0
"00BD4ZX","0113","10000",1,0,0,0,0
"00BD4ZZ","0159","10000",1,0,0,0,0
"00BF0ZX","0412","10000",1,0,0,0,0
"00BF0ZZ","0407","10000",1,0,0,0,0
"00BF0ZZ","0406","10000",1,0,0,0,0
"00BF3ZX","0411","10000",1,0,0,0,0
