Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
6309,Cefepime 2gm Desensitization Rx Protocol- initiate,False,Medication,anti-infective,cephalosporins
6375,sincalide,False,Medication,,not_reviewed
6431,casirivimab,False,Medication,,
6453,inotuzumab ozogamicin,False,Medication,,antineoplastics
6499,Dextrose 30% in Water,True,Hypertonic Crystalloid,,not_reviewed
6522,Potassium Level Recheck Reminder,False,Medication,,
6544,estradiol,False,Medication,,not_reviewed
6561,triamcinolone,False,Medication,,not_reviewed
6808,PrismaSol B22GK4/0 w/o Calcium,True,Dialysis Solution,,not_reviewed
6877,remdesivir.,False,Medication,anti-infective,antiviral
6883,remdesivir,False,Medication,anti-infective,antiviral
7101,sodium ferric gluconate complex,False,Medication,,not_reviewed
7104,regadenoson,False,Medication,,
7210,phenylephrine ophthalmic,False,Medication,,other
7250,droperidol,False,Medication,,not_reviewed
7316,chromic chloride hexahydrate,False,Medication,,not_reviewed
7446,omadacycline,False,Medication,anti-infective,tetracyclines
7455,DACTINomycin,False,Medication,,antineoplastics
7464,tetracaine,False,Medication,,not_reviewed
7500,siltuximab,False,Medication,,not_reviewed
7551,nivolumab,False,Medication,,antineoplastics
7565,carvedilol,False,Medication,bp_lowering,other
7590,obinutuzumab,False,Medication,,antineoplastics
7663,midodrine,False,Medication,,other
7709,miSOPROStol,False,Medication,,not_reviewed
