o2_device,count,mapping
"Room air, Other: duoneb cont",2,
"Other: vent, settings unchanged.",2,
"Other: Heliox on presentation to ed, Heliox at 12L/m",2,
"Trach collar, Other: airvo",2,
"Room air, Other: on vent, pt biting tube,",2,
"Room air, Other: Hospital BiPAP",2,
"Trach collar, Room air, Other: home vent",2,
"Room air, Other: NIPPV",2,
Other: humidified air,2,
"Room air, Other: 17x/380  peep 6",2,
"Room air, Other: PT IS ON C-PAP",1,
Other: patient intubated fio2 100%,1,
Other: intubated 7.5 taped 23 at lip fio2 100 450 peep 5 bilateral ausculation lung sound,1,
Other: ventlator,1,
"Room air, Other: during night time O2 2L via n/c due to desat",1,
Other: Airvo 10L,1,
"Room air, Other: HAS SLEEP APNEA noncompliant to use of CPAP",1,
"Other: nasal trumpet, ambu bag",1,
"Other: Vetnilator, 40%",1,
"Trach collar, Other: ventilated trach collar",1,
"Room air, Other: Airvo 60L 50% FiO2",1,
"Room air, Other: bagging the patinet",1,
"Simple mask, High-flow mask",1,
"Room air, Other: ventilator settings rate of 13 ,simv,peep of 6,tidal volume 450",1,
Other: Vent (ETT),1,
"Room air, Other: vent no change from prior settings",1,
Other: ETT (7.0),1,
Other: Patient was being bagged,1,
Other: ETT/ BVM,1,
"Trach interface, High-flow mask",1,
Other: ventiliator,1,
"Room air, Other: ventilator simv",1,
Other: ambued with O2,1,
"Room air, Other: PM valve in place",1,
Other: OETT Vented,1,
"Room air, Other: EMS BI PAP",1,
Other: vent- 100%fio2,1,
"Aerosol mask, Non-rebreather mask",1,
Other: BI-PAP,1,
"Nasal cannula, Non-rebreather mask, Partial-rebreather mask",1,
Other: E-tube,1,
"Trach collar with heater, Aerosol mask",1,
"Room air, Other: trach with NRB",1,
"Trach collar, Other: trach collar",1,
"Nasal cannula, Non-rebreather mask, High-flow mask",1,
"Other: vent fI02 100%, R 20, Peep 8, VT 500",1,
Other: on RA,1,
Other: 95,1,
"Room air, Other: INTUABTED AND SEDATED",1,
Other: ett vent,1,
"Room air, Other: bagvalve mask",1,
"Non-rebreather mask, Other: vapotherm",1,
Other: INTUBATED ON THE VETILATOR,1,
"Room air, Other: vapotherm, see note",1,
Other: NEBULIZER GOING,1,
"Aerosol mask, Home CPAP/BiPAP Device",1,
Other: trelegy 2L,1,
"Trach collar with heater, Trach interface, Heated high-flow oxygen",1,
"Other: AC/CMV fio2 70%, PEEP14, vt 470 rate 28",1,
"Room air, Other: Cpap",1,
Other: o2 NC 4lpm,1,
"Venturi mask, Non-rebreather mask",1,
Other: ETT- vent,1,
Other: 100,1,
"Room air, Other: Bag valve mask",1,
"Trach collar with heater, Bag mask, Room air",1,
Other: pt intubated and on vent,1,
