Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
561,Description Missing,Description Missing,Not Recorded,none,1,,,,none,,,none,True,False,False
562,Desmopressin 0.1 mg tab,desmopressin,Not Recorded,none,4,,,,0.1 mg,mg,0.1,none,False,False,False
563,Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,Not Recorded,none,54,,,,0.4 mcg,mcg,0.4,none,False,False,False
564,Desmopressin 10mcg/inh 5mL nasal,desmopressin,Not Recorded,5.0 mL,2,mL,5.0,,10.0 mcg,mcg,10.0,none,True,False,False
565,Desmopressin 4 mcg/mL IV in syringe,desmopressin in syringe,Not Recorded,none,449,,,,4.0 mcg,mcg,4.0,none,False,False,False
566,Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,Not Recorded,none,15,,,,4.0 mcg,mcg,4.0,none,False,False,False
567,Desmopressin 4 mcg/mL inj,desmopressin,Not Recorded,none,4858,,,,4.0 mcg,mcg,4.0,none,False,False,False
568,Desmopressin 4 mcg/mL inj.,desmopressin,Not Recorded,none,396,,,,4.0 mcg,mcg,4.0,none,False,False,False
569,Dexamethasone 0.2mg/mL neonate syringe,Dexamethasone in syringe,Not Recorded,none,5,,,,0.2 mg,mg,0.2,none,False,False,False
570,Dexamethasone 0.5 mg tab,dexamethasone,Not Recorded,none,1,,,,0.5 mg,mg,0.5,none,False,False,False
571,Dexamethasone 10mg/NS IVPB,dexamethasone/ns,Not Recorded,none,11,,,,10.0 mg,mg,10.0,none,True,False,False
572,Dexamethasone 12mg/NS IVPB,dexamethasone/ns,Not Recorded,none,23,,,,12.0 mg,mg,12.0,none,True,False,False
573,Dexamethasone 2 mg tab,dexamethasone,Not Recorded,none,2,,,,2.0 mg,mg,2.0,none,False,False,False
574,Dexamethasone 20 mg/5 mL inj,dexamethasone,Not Recorded,5.0 mL,16655,mL,5.0,,20.0 mg,mg,20.0,20.0 mg/5.0 ML,False,False,False
575,Dexamethasone 20mg/NS IVPB,dexamethasone/ns,Not Recorded,none,69,,,,20.0 mg,mg,20.0,none,True,False,False
576,Dexamethasone 4 mg tab,dexamethasone,Not Recorded,none,24,,,,4.0 mg,mg,4.0,none,False,False,False
577,Dexamethasone 4 mg/1 mL inj,dexamethasone,Not Recorded,1.0 mL,314008,mL,1.0,,4.0 mg,mg,4.0,4.0 mg/1.0 ML,False,False,False
578,Dexamethasone 6  mg tab,dexamethasone,Not Recorded,none,4,,,,6.0 mg,mg,6.0,none,False,False,False
579,Dexamethasone 8 mg/NS IVPB,dexamethasone/ns,Not Recorded,none,14,,,,8.0 mg,mg,8.0,none,True,False,False
580,Dexamethson 10 mg/mL  10 mL inj,dexamethasone,Not Recorded,10.0 mL,177,mL,10.0,,10.0 mg,mg,10.0,none,False,False,False
581,Dexmedetomidine 200 mcg/2 mL inj,dexmedetomidine,Microgram/Kilogram/Hour,2.0 mL,101592,mL,2.0,,200.0 mcg,mcg,200.0,200.0 mcg/2.0 ML,False,False,False
582,Dexmedetomidine 4 mcg/mL 20mL vial (for OR),dexmedetomidine,Not Recorded,20.0 mL,840,mL,20.0,,4.0 mcg,mcg,4.0,none,True,False,False
583,Dexrazoxane 250 mg inj cardio tox,dexrazoxane,Not Recorded,none,16,,,,250.0 mg,mg,250.0,none,False,False,False
584,Dextran 40/ 500 mL IV bag,dextran 40,Not Recorded,500.0 mL,257,mL,500.0,,none,,,none,True,False,False
585,Dextran 40/ 500 mL IV bag,dextran 40/ns,Not Recorded,500.0 mL,173,mL,500.0,,none,,,none,True,False,False
586,Dextran 40/D5W 500 mL IV bag,dextran 40/d5w,Not Recorded,500.0 mL,496,mL,500.0,,none,,,none,True,False,False
587,Dextran-Dextrose 32% inj 100 mL inj,dextran-dextrose 32%,Not Recorded,100.0 mL,18,mL,100.0,,none,,,none,False,False,False
588,Dextrose 10% 5 mL inj,dextrose 10%,Not Recorded,5.0 mL,13,mL,5.0,,none,,,none,False,False,False
589,Dextrose 10% in Water 250mL,D10W,Not Recorded,250.0 mL,191,mL,250.0,,none,,,none,True,False,False
590,Dextrose 10% in Water 250mL btl.,D10W,Not Recorded,250.0 mL,892,mL,250.0,,none,,,none,True,False,False
591,Dextrose 30% in Water 500mL,dextrose 30% water,Not Recorded,500.0 mL,1,mL,500.0,,none,,,none,True,False,False
592,Dextrose 50% 50 mL syringe,dextrose 50%,Not Recorded,50.0 mL,62572,mL,50.0,,none,,,none,False,False,False
593,Dextrose 50% 50 mL vial,dextrose 50%,Not Recorded,50.0 mL,8170,mL,50.0,,none,,,none,True,False,False
594,Diazepam 10 mg/2 mL inj,diazepam,Not Recorded,2.0 mL,13498,mL,2.0,,10.0 mg,mg,10.0,10.0 mg/2.0 ML,False,False,False
595,Diazepam 2 mg tab,diazepam,Not Recorded,none,1,,,,2.0 mg,mg,2.0,none,False,False,False
596,Diazepam 5 mg tab,diazepam,Not Recorded,none,9,,,,5.0 mg,mg,5.0,none,False,False,False
597,Dicyclomine 20 mg/2 mL inj,dicyclomine,Not Recorded,2.0 mL,4,mL,2.0,,20.0 mg,mg,20.0,20.0 mg/2.0 ML,False,False,False
598,Digoxin 0.05 mg/mL Elixir  60 mL,digoxin,Not Recorded,60.0 mL,1,mL,60.0,,0.05 mg,mg,0.05,none,True,False,False
599,Digoxin 0.5 mg/2 mL inj,digoxin,Not Recorded,2.0 mL,10268,mL,2.0,,0.5 mg,mg,0.5,0.5 mg/2.0 ML,False,False,False
600,Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,Not Recorded,none,49,,,,40.0 mg,mg,40.0,none,True,False,False
601,Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,Not Recorded,1.0 mL,1950,mL,1.0,,1.0 mg,mg,1.0,1.0 mg/1.0 ML,False,False,False
602,Diltiazem 100 mg ADD-Vantage,diltiazem,Milligram/Hour,none,31,,,,100.0 mg,mg,100.0,none,True,False,False
603,Diltiazem 125 mg vial,diltiazem,Milligram/Hour,none,40246,,,,125.0 mg,mg,125.0,none,True,False,False
604,Diltiazem 25 mg/5 mL inj,diltiazem,Not Recorded,5.0 mL,13081,mL,5.0,,25.0 mg,mg,25.0,25.0 mg/5.0 ML,False,False,False
605,Diltiazem 50 mg/10 mL inj,diltiazem,Not Recorded,10.0 mL,50,mL,10.0,,50.0 mg,mg,50.0,50.0 mg/10.0 ML,False,False,False
606,DiphenhydrAMI 2.5 mg/mL liq 240 mL,diphenhydrAMINE,Not Recorded,240.0 mL,4,mL,240.0,,2.5 mg,mg,2.5,none,True,False,False
607,DiphenhydrAMINE 12.5mg/5mL Liq,diphenhydrAMINE liq,Not Recorded,5.0 mL,1,mL,5.0,,12.5 mg,mg,12.5,12.5 mg/5.0 ML,True,False,False
608,DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,Not Recorded,none,66,,,,25.0 mg,mg,25.0,none,False,False,False
